Name,Ticker,"Sub-Sector","Market Cap"
Zota Health Care Ltd,ZOTA,"Pharmaceuticals","5189.69762766"
PDS Ltd,PDSL,"Textiles","5170.520507130001"
Sky Gold and Diamonds Ltd,SKYGOLD,"Precious Metals, Jewellery & Watches","5156.19301778"
Crizac Ltd,CRIZAC,"Education Services","5115.6133875"
Lumax Industries Ltd,LUMAXIND,"Auto Parts","5114.6115638"
RattanIndia Power Ltd,RTNPOWER,"Power Generation","5112.340778719999"
VST Tillers Tractors Ltd,VSTTILLERS,"Tractors","5100.8777237"
India Tourism Development Corp Ltd,ITDC,"Tour & Travel Services","5089.127349"
HG Infra Engineering Ltd,HGINFRA,"Construction & Engineering","5088.56034688"
Kotak Gold Etf,GOLD1,"Gold","5064.5993624"
Technocraft Industries (India) Ltd,TIIL,"Industrial Machinery","5051.726122380001"
Sterling and Wilson Renewable Energy Ltd,SWSOLAR,"Renewable Energy Equipment & Services","5036.3450735199995"
Indus Infra Trust,INDUSINVIT,"Power Infrastructure","5034.44018443"
Blue Pearl Agriventures Ltd,BPAGRI,"Commodities Trading","5033.18368"
KNR Constructions Ltd,KNRCON,"Construction & Engineering","5032.1306978"
Sterlite Technologies Ltd,STLTECH,"Telecom Equipments","5027.706774985"
Jamna Auto Industries Ltd,JAMNAAUTO,"Auto Parts","5021.959812495"
Kaveri Seed Company Ltd,KSCL,"Seeds","5014.5119278"
